Plot,Season,Nmin,Nnit,Nam,pH,WHC,TN,TC
1,June,1.158075145,0.472247431,0.685827713,4.69,45.63433999,0.33,4.56
2,June,0.897659146,0.410994489,0.486664657,4.81,46.42876206,0.34,4.7
3,June,1.520511263,0.774411908,0.746099355,4.74,49.00942138,0.27,3.85
4,June,1.245189755,0.554839922,0.690349832,4.72,44.42553718,0.36,5.35
5,June,3.019902262,1.749236188,1.270666075,4.35,49.86980217,0.35,5.13
6,June,1.617516574,0.684972018,0.932544556,4.48,46.10617797,0.37,5.47
7,June,1.588626136,0.910013989,0.678612147,4.85,47.46792362,0.51,7.14
8,June,1.367190478,0.875912543,0.491277935,4.69,46.88488698,0.3,4.28
9,June,1.828368802,1.031732711,0.796636092,4.6,45.66392066,0.42,5.17
10,June,1.768665636,0.711222534,1.057443102,4.88,45.55822689,0.39,5.07
11,June,1.143022089,0.418522211,0.724499878,4.98,43.46082506,0.38,5.04
12,June,1.455638743,0.714401797,0.741236946,4.7,45.38530181,0.37,5.04
13,June,1.654950822,0.928050568,0.726900254,4.38,41.6735759,0.37,4.86
14,June,0.860933847,0.546980354,0.313953492,4.63,41.23993786,0.33,4.41
15,June,1.190047938,0.587473695,0.602574243,4.7,45.29942578,0.5,6.71
16,June,0.385618794,0.168881558,0.216737237,5.34,35.74422991,0.31,5.47
17,June,0.430561199,0.231843784,0.198717415,5.31,37.62990848,0.28,4.88
18,June,0.20068395,0.110572775,0.090111175,5.45,39.60069123,0.32,5.11
19,June,-0.017001982,0.061858874,-0.078860856,5.17,41.96228037,0.35,7.31
20,June,0.753357191,0.68791074,0.065446451,5.15,39.04573708,0.33,5.78
21,June,0.369403516,0.432762684,-0.063359169,5.17,44.76622178,0.35,5.8
22,June,0.533645172,0.403804998,0.129840174,5.11,41.8783149,0.28,5.01
23,June,0.882026522,0.401628933,0.480397589,4.99,38.99114391,0.31,5.82
24,June,0.394689804,0.164702622,0.229987182,5.22,35.18941065,0.2,3.89
25,June,0.587031872,0.271872503,0.315159369,5.05,40.85352183,0.39,7.61
26,June,0.95052799,0.85803554,0.09249245,5.35,38.2893336,0.22,4.68
27,June,0.21391753,0.203465827,0.010451704,5.22,36.87182829,0.28,5.42
28,June,0.632178768,0.526832595,0.105346173,5.24,42.13217514,0.31,6.08
29,June,0.87826804,0.697107164,0.181160877,5.26,42.24934733,0.39,6.71
30,June,0.522403093,0.268610312,0.253792781,5.15,35.93669699,0.25,4.24
1,Sept,0.659822155,0.300868051,0.358954104,4.91,43.52857414,0.44,5.54
2,Sept,0.595319479,0.348315194,0.247004286,4.89,41.46604999,0.31,4.13
3,Sept,0.847159751,0.461848294,0.385311457,4.83,41.80797783,0.4,5.67
4,Sept,0.66617174,0.304550776,0.361620964,4.85,42.08664373,0.22,3.09
5,Sept,1.33840545,0.595328733,0.743076717,4.49,45.97903588,0.5,7.52
6,Sept,0.490569874,0.300975746,0.189594128,4.75,41.07782417,0.42,6.36
7,Sept,0.620193397,0.532744232,0.087449165,4.61,41.04810578,0.41,5.35
8,Sept,0.75678645,0.675644171,0.081142279,4.71,39.59827794,0.29,3.89
9,Sept,1.16661528,0.68721543,0.479399849,4.88,42.43534884,0.43,5.01
10,Sept,0.712237308,0.360226962,0.352010346,4.75,44.13273818,0.48,5.84
11,Sept,0.574335343,0.252544847,0.321790495,4.76,42.33760175,0.27,3.57
12,Sept,0.963195525,0.522879991,0.440315534,4.68,43.23693423,0.46,5.97
13,Sept,1.341283507,0.915936119,0.425347388,4.59,45.47705718,0.45,5.85
14,Sept,1.047821307,0.697885126,0.349936181,4.63,45.47953463,0.38,5.59
15,Sept,0.677230429,0.379347775,0.297882654,4.75,38.53463909,0.27,3.56
16,Sept,0.303494697,0.106754813,0.196739883,5.46,26.92581013,0.23,3.89
17,Sept,0.321264063,0.159121832,0.162142231,5.31,40.16702427,0.33,5
18,Sept,0.172393886,0.072777279,0.099616607,5.31,41.33689671,0.34,5.29
19,Sept,0.283654296,0.104212946,0.17944135,5.37,41.72503187,0.36,7.42
20,Sept,0.680341318,0.558995247,0.121346071,5.23,45.47899475,0.36,6.54
21,Sept,0.719401744,0.506462786,0.212938959,5.13,40.36848317,0.26,4.08
22,Sept,0.437645639,0.39774949,0.039896149,5.07,40.8227577,0.36,6.09
23,Sept,0.584033314,0.328860219,0.255173095,5.01,39.37726656,0.28,5.46
24,Sept,0.609170706,0.555075755,0.054094952,5.02,37.55642655,0.33,5.59
25,Sept,0.497980112,0.245244777,0.252735335,5.09,36.28223492,0.3,5.55
26,Sept,0.586413865,0.271765991,0.314647874,5.36,38.26337854,0.37,6.78
27,Sept,0.328836579,0.416037268,-0.087200689,5.29,41.13731049,0.33,6.3
28,Sept,0.213541338,0.234106372,-0.020565034,5.38,40.89065006,0.27,4.9
29,Sept,0.208169982,0.147457296,0.060712685,5.29,42.54588585,0.49,8.3
30,Sept,0.283935645,0.174119971,0.109815674,5.29,38.71088481,0.23,4.1
