SampleID,Season,Plot,Nitrate concentration (mg N-NO3/L) Day 1,Ammonium concentration (mg N-NH4/L) Day 1,Nitrate concentration (mg N-NO3/L) Day 30, Ammonium concentration (mg N-NH4/L) Day 30,Day 1 NO3 (ug N),Day 1 NH4 (ug N),Day 30 NO3 (ug N),Day 30 NH4 (ug N),Actual dry weight mass for day 0 samples (g),Actual dry weight mass for day 30 samples (g),Day 1 NO3 (ug N g dry weight soil-1),Day 1 NH4 (ug N g dry weight soil-1),Day 30 NO3 (ug N g dry weight soil-1),Day 30 NH4 (ug N g dry weight soil-1),Net_N_Mineralization (ug N g-1 day-1),Net_Nitrification (ug N g-1 day-1),Net_Ammonification (ug N g-1 day-1)
J1,June,1,1.168627244,1.394020044,2.4740599,3.522653261,29.21568111,34.85050111,61.8514975,88.06633153,5.953242326,5.951186937,0.472352041,0.395730133,10.3895481,14.79811212,1.158075145,0.472247431,0.685827713
J2,June,2,0.724843994,1.426461978,2.164169733,2.592896944,18.12109986,35.66154944,54.10424333,64.82242361,6.034504571,6.01873926,0.334929365,0.55014218,8.96581363,10.77009998,0.897659146,0.410994489,0.486664657
J3,June,3,1.522149494,1.104991911,3.9754529,3.804308228,38.05373736,27.62479778,99.3863225,95.10770569,5.970748896,5.959672937,0.382887065,0.29045804,16.64553714,15.95854449,1.520511263,0.774411908,0.746099355
J4,June,4,1.364192744,1.126374094,2.912380483,3.566892261,34.10481861,28.15935236,72.80951208,89.17230653,6.007360729,6.019814348,0.46841158,0.315785847,12.12004995,14.81313233,1.245189755,0.554839922,0.690349832
J5,June,5,2.828426744,1.889496844,4.6913489,6.473394561,70.71066861,47.23742111,117.2837225,161.834864,3.141231328,5.999244484,0.602902663,0.291886556,37.3368626,26.97587412,3.019902262,1.749236188,1.270666075
J6,June,6,1.965932744,1.467014394,3.581047233,4.784939394,49.14831861,36.67535986,89.52618083,119.6234849,5.995031995,6.014244878,0.548982635,0.306589964,14.933395,19.89002564,1.617516574,0.684972018,0.932544556
J7,June,7,1.949217744,1.225911844,4.699634733,3.518229361,48.73044361,30.64779611,117.4908683,87.95573403,6.017441656,6.024653875,0.414759413,0.348445686,19.52505318,14.59930078,1.588626136,0.910013989,0.678612147
J8,June,8,1.795439744,0.914026894,4.5173464,2.564141594,44.88599361,22.85067236,112.93366,64.10353986,6.009789068,6.005970948,0.39745452,0.356465063,18.79161793,10.67330169,1.367190478,0.875912543,0.491277935
J9,June,9,2.975518744,1.389596144,5.364158567,4.134626094,74.38796861,34.73990361,134.1039642,103.3656524,6.034985694,6.057014616,0.554703726,0.336087499,22.22109065,17.06544543,1.828368802,1.031732711,0.796636092
J10,June,10,1.950889244,1.391808094,3.697877483,5.404285394,48.77223111,34.79520236,92.44693708,135.1071349,5.978495956,6.014426599,0.527570006,0.25753786,15.46324322,22.463843,1.768665636,0.711222534,1.057443102
J11,June,11,0.991448244,1.062227544,2.228799233,3.736475094,24.78620611,26.55568861,55.71998083,93.41187736,6.034348946,6.027045785,0.444835151,0.284285996,9.23380158,15.49878343,1.143022089,0.418522211,0.724499878
J12,June,12,1.950889244,1.011352694,3.727706483,3.783663361,48.77223111,25.28381736,93.19266208,94.59158403,6.00244401,5.97422904,0.523348406,0.267294576,15.52578615,15.83327043,1.455638743,0.714401797,0.741236946
J13,June,13,2.383807744,1.317339111,4.807350567,3.736475094,59.59519361,32.93347778,120.1837642,93.41187736,6.013719791,5.981243654,0.495867258,0.352561994,19.98492919,15.61746733,1.654950822,0.928050568,0.726900254
J14,June,14,1.223786744,0.869050578,2.883380067,1.714752794,30.59466861,21.72626444,72.08450167,42.86881986,6.05191917,6.038005312,0.42442783,0.506808084,11.91101527,7.099831425,0.860933847,0.546980354,0.313953492
J15,June,15,1.785410744,1.144069694,3.122012067,3.128188844,44.63526861,28.60174236,78.05030167,78.20472111,6.04627429,6.006604707,0.571878233,0.365729101,12.90882582,13.0197882,1.190047938,0.587473695,0.602574243
J16,June,16,0.174084744,0.768775511,0.886494233,1.225911844,4.352118611,19.21938778,22.16235583,30.64779611,5.921192746,5.918177291,0.196374368,0.627105052,3.742887081,5.178587021,0.385618794,0.168881558,0.216737237
J17,June,17,0.324519744,0.857253511,1.2262134,1.173562361,8.112993611,21.43133778,30.655335,29.33905903,5.971774229,5.983244241,0.264651931,0.730471204,5.133371394,4.903536919,0.430561199,0.231843784,0.198717415
J18,June,18,0.050393744,0.718637978,0.583232733,0.704628961,1.259843611,17.96594944,14.58081833,17.61572403,6.054069854,6.048906922,0.086404177,1.019881409,2.408432457,2.912216084,0.20068395,0.110572775,0.090111175
J19,June,19,-0.046553256,0.765826244,0.041339233,0.274036028,-1.163831389,19.14565611,1.033480833,6.850900694,5.977033738,6.017263773,-1.126127695,2.794618834,0.17290865,1.138540864,-0.017001982,0.061858874,-0.078860856
J20,June,20,0.334548744,0.634583878,3.481617233,0.588132928,8.363718611,15.86459694,87.04043083,14.70332319,5.985362429,5.993147438,0.096090042,1.078980359,14.54221559,2.453355828,0.753357191,0.68791074,0.065446451
J21,June,21,0.785853744,0.857253511,2.2652569,0.321224294,19.64634361,21.43133778,56.6314225,8.030607361,6.002313591,6.001211237,0.346915948,2.668706963,9.434932321,1.338164421,0.369403516,0.432762684,-0.063359169
J22,June,22,0.536800244,0.706840911,2.092911567,0.855041561,13.42000611,17.67102278,52.32278917,21.37603903,5.989062983,6.015796811,0.256484915,0.826674332,8.736389869,3.553317989,0.533645172,0.403804998,0.129840174
J23,June,23,0.749080744,0.683246778,2.114454733,2.488935294,18.72701861,17.08116944,52.86136833,62.22338236,6.014851612,6.004458618,0.354266626,0.274513676,8.788474221,10.36286305,0.882026522,0.401628933,0.480397589
J24,June,24,0.359621244,0.445093494,0.9279234,1.222225261,8.990531111,11.12733736,23.198085,30.55563153,6.031257321,5.882987222,0.387554883,0.364166499,3.846309943,5.193897314,0.394689804,0.164702622,0.229987182
J25,June,25,0.567661811,0.774674044,1.457103167,1.688209394,14.19154528,19.36685111,36.42757917,42.20523486,5.972806445,5.963533026,0.389582443,0.458873198,6.098905013,7.077219943,0.587031872,0.271872503,0.315159369
J26,June,26,1.757015094,0.774674044,4.447130033,0.723799194,43.92537736,19.36685111,111.1782508,18.09497986,6.03775611,6.006372966,0.39508966,1.070288625,18.413836,3.012630079,0.95052799,0.85803554,0.09249245
J27,June,27,0.465739644,0.644906311,1.123256883,0.418550094,11.64349111,16.12265778,28.08142208,10.46375236,5.990811241,5.944313727,0.414633243,1.540810335,4.687415603,1.760296115,0.21391753,0.203465827,0.010451704
J28,June,28,0.893812744,0.597718044,2.740137083,0.729697728,22.34531861,14.94295111,68.50342708,18.24244319,6.014518751,6.017826501,0.326192711,0.819131021,11.3896772,3.031400655,0.632178768,0.526832595,0.105346173
J29,June,29,1.219963678,0.876423744,3.589771583,1.102779961,30.49909194,21.91059361,89.74428958,27.56949903,5.991302594,5.994517732,0.339844374,0.794740361,14.97909481,4.599118772,0.87826804,0.697107164,0.181160877
J30,June,30,0.827955344,0.661127278,1.4897154,1.398443944,20.69888361,16.52818194,37.242885,34.96109861,6.010215334,6.025274486,0.555780886,0.472759227,6.196597448,5.802407623,0.522403093,0.268610312,0.253792781
S1,Sept,1,0.257191211,0.597718044,1.563522033,1.889496844,6.429780278,14.94295111,39.08805083,47.23742111,6.029572098,6.014155317,0.164494779,0.316337149,6.482723848,7.854373328,0.659822155,0.300868051,0.358954104
S2,Sept,2,0.368521578,0.653016794,1.810688433,1.359366161,9.213039444,16.32541986,45.26721083,33.98415403,6.021061369,5.996350094,0.203525671,0.480383294,7.518144735,5.667473295,0.595319479,0.348315194,0.247004286
S3,Sept,3,0.232102678,0.653754111,2.351364933,2.020001894,5.802566944,16.34385278,58.78412333,50.50004736,5.999895861,6.001064945,0.098709764,0.323640346,9.79752394,8.415180943,0.847159751,0.461848294,0.385311457
S4,Sept,4,0.285415811,0.625736078,1.573820633,1.896132694,7.135395278,15.64340194,39.34551583,47.40331736,5.982363319,5.982210725,0.181352185,0.330006481,6.576918474,7.924046734,0.66617174,0.304550776,0.361620964
S5,Sept,5,0.415562578,0.664076544,3.044804,3.785137994,10.38906444,16.60191361,76.1201,94.62844986,6.022928914,5.996712595,0.136482538,0.175443153,12.63838592,15.78005422,1.33840545,0.595328733,0.743076717
S6,Sept,6,0.214854311,0.355878178,1.549790567,1.037896094,5.371357778,8.896954444,38.74476417,25.94740236,5.998453917,6.000286046,0.138634417,0.342884206,6.459125085,4.324360899,0.490569874,0.300975746,0.189594128
S7,Sept,7,0.403018311,0.441406911,2.729838483,0.611727061,10.07545778,11.03517278,68.24596208,15.29317653,6.020677232,5.978550578,0.14763449,0.72157493,11.33526337,2.558007385,0.620193397,0.532744232,0.087449165
S8,Sept,8,0.564525744,0.413388878,3.4515987,0.577810494,14.11314361,10.33472194,86.2899675,14.44526236,6.01236565,5.970527657,0.163554861,0.715440238,14.35208245,2.419428096,0.75678645,0.675644171,0.081142279
S9,Sept,9,0.628031094,1.022412444,3.509957433,2.513266744,15.70077736,25.56031111,87.74893583,62.83166861,6.005901333,5.998706393,0.178928408,0.40680618,14.61045245,10.47420302,1.16661528,0.68721543,0.479399849
